"","Year","ID","L","NL","NVloss","crfrac","DT_NL","DT_L","DT_luc"
"16","X2005","CR255212",1.015,1.603,0.218204860629547,0.0347067159366473,0.349782391589164,0.0352273166756971,0.385009708264861
"17","X2010","CR255212",1.015,1.603,0.225484886060024,0.0347067159366473,0.361452272354219,0.0352273166756971,0.396679589029916
"18","X2012","CR255212",1.015,1.603,0.229501042031945,0.0347067159366473,0.367890170377208,0.0352273166756971,0.403117487052905
"19","X2015","CR255212",1.015,1.603,0.235461121490341,0.0347067159366473,0.377444177749016,0.0352273166756971,0.412671494424713
"20","X2000","CR255205",1.015,1.6985,0.102027808001588,0.0560405278710342,0.173294231890698,0.0568811357890997,0.230175367679797
"21","X2005","CR255205",1.015,1.6985,0.19526830602545,0.0560405278710342,0.331663217784226,0.0568811357890997,0.388544353573326
"22","X2010","CR255205",1.015,1.6985,0.219236802082384,0.0560405278710342,0.37237370833693,0.0568811357890997,0.429254844126029
"23","X2012","CR255205",1.015,1.6985,0.212769747034172,0.0560405278710342,0.361389415337541,0.0568811357890997,0.418270551126641
"24","X2015","CR255205",1.015,1.6985,0.23332664843453,0.0560405278710342,0.39630531236605,0.0568811357890997,0.453186448155149
"25","X2000","CR257205",1.015,1.6985,0.275283537441751,0.0263184576576377,0.467569088344814,0.0267132345225022,0.494282322867316
"26","X2005","CR257205",1.015,1.6985,0.349959534535865,0.0263184576576377,0.594406269409167,0.0267132345225022,0.621119503931669
"27","X2010","CR257205",1.015,1.6985,0.354199845234842,0.0263184576576377,0.601608437131379,0.0267132345225022,0.628321671653881
"28","X2012","CR257205",1.015,1.6985,0.349806932221553,0.0263184576576377,0.594147074378308,0.0267132345225022,0.62086030890081
